key,lastInstantiationMoment,endOfInstantiation,pictureLink,slogan,link
banner-01,2012/08/08 20:44,2012/08/08 23:44,"https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS2eZICmjlcDuhGCy4o7Io0qUVCZe4tGLOHJg&usqp=CAU","Hala Madrid","https://www.realmadrid.com/es-ES"
banner-02,2013/08/08 20:43,2013/08/08 23:44,"https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS2eZICmjlcDuhGCy4o7Io0qUVCZe4tGLOHJg&usqp=CAU","Hala Madrid","https://www.realmadrid.com/es-ES"
banner-03,2012/08/08 20:46,2012/08/08 23:44,"https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS2eZICmjlcDuhGCy4o7Io0qUVCZe4tGLOHJg&usqp=CAU","Este es Mensaje largo del banner lo estoy haciendo mas largo a proposito","https://www.realmadrid.com/es-ES"
banner-04,2021/08/08 20:41,2021/08/08 23:44,"https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS2eZICmjlcDuhGCy4o7Io0qUVCZe4tGLOHJg&usqp=CAU","Hala Madrid","https://www.realmadrid.com/es-ES"
banner-05,2021/08/08 20:42,2021/08/08 23:44,"https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS2eZICmjlcDuhGCy4o7Io0qUVCZe4tGLOHJg&usqp=CAU","Este es Mensaje largo del banner lo estoy haciendo mas largo a proposito","https://www.realmadrid.com/es-ES"
banner-06,2018/08/08 20:45,2018/08/08 23:44,"https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS2eZICmjlcDuhGCy4o7Io0qUVCZe4tGLOHJg&usqp=CAU","Este es Mensaje largo del banner lo estoy haciendo mas largo a proposito","https://www.realmadrid.com/es-ES"
banner-07,2018/08/08 20:44,2018/08/08 23:44,"https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS2eZICmjlcDuhGCy4o7Io0qUVCZe4tGLOHJg&usqp=CAU","Slogan corto","https://www.realmadrid.com/es-ES"
banner-08,2021/10/08 20:42,2021/10/08 23:44,"https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS2eZICmjlcDuhGCy4o7Io0qUVCZe4tGLOHJg&usqp=CAU","Este es Mensaje largo","https://www.realmadrid.com/es-ES"
banner-09,2021/10/08 20:42,2021/10/08 23:44,"https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS2eZICmjlcDuhGCy4o7Io0qUVCZe4tGLOHJg&usqp=CAU","Slogan","https://www.realmadrid.com/es-ES"
banner-10,2020/10/08 20:42,2020/10/08 23:44,"https://media.revistagq.com/photos/5ca5fe29f464887b72f4a19b/16:9/w_2560%2Cc_limit/forocoches_1886.jpg","Slogan","https://forocoches.com/"
banner-11,2012/08/06 20:46,2012/08/06 23:44,"https://media.revistagq.com/photos/5ca5fe29f464887b72f4a19b/16:9/w_2560%2Cc_limit/forocoches_1886.jpg","Forocochero","https://forocoches.com/"
banner-12,2019/08/06 20:46,2019/08/06 23:44,"https://media.revistagq.com/photos/5ca5fe29f464887b72f4a19b/16:9/w_2560%2Cc_limit/forocoches_1886.jpg","Forococherooooooooooooooooooooooooooo","https://forocoches.com/"
