key,title,description,estimatedCost,acceptanceCriteria,priority,link,draft-mode,key:manager
user-story-01,Video call feature,"As a manager, I want to make video calls so that users will see each other while chatting.",10,Video call feature must allow users to have calls with good audio and video quality.,MUST,null,true,manager-01
user-story-02,V,"As a manager, I want to make video calls so that users will see each other while chatting.",10,Video call feature must allow users to have calls with good audio and video quality.,MUST,null,false,manager-01
user-story-03,SeamlessConnect: Empowering Video Communication,"As a manager, I want to make video calls so that users will see each other while chatting.",10,Video call feature must allow users to have calls with good audio and video quality.,MUST,null,true,manager-01
user-story-04,Develop and deploy AI-powered recommendation system for user preferences,"As a manager, I want to make video calls so that users will see each other while chatting.",10,Video call feature must allow users to have calls with good audio and video quality.,MUST,null,true,manager-01
user-story-05,Photography feature,As a manager I want to make photos so that people keep memories in their devices.,1,Image must be clear and with good quality.,MUST,https://medium.com/@bragadeeshs/pixel-by-pixel-comparing-photos-with-python-ddb36fee29dc,false,manager-02
user-story-06,ကို ဓာတ်ပုံများပစ္စည်းနှင့် အရည်အချင်းအစား ဖြစ်စေသည်။,As a manager I want to make photos so that people keep memories in their devices.,99,Image must be clear and with good quality.,MUST,https://medium.com/@bragadeeshs/pixel-by-pixel-comparing-photos-with-python-ddb36fee29dc,false,manager-02
user-story-07,"Como gerente, quero tirar fotos",As a manager I want to make photos so that people keep memories in their devices.,2147483620,Image must be clear and with good quality.,MUST,https://medium.com/@bragadeeshs/pixel-by-pixel-comparing-photos-with-python-ddb36fee29dc,true,manager-02
user-story-08,Photography feature,As a manager I want to make photos so that people keep memories in their devices.,2132483110,Image must be clear and with good quality.,MUST,https://medium.com/@bragadeeshs/pixel-by-pixel-comparing-photos-with-python-ddb36fee29dc,true,manager-02
user-story-09,Photography feature,As a manager I want to make photos so that people keep memories in their devices.,1135483620,Image must be clear and with good quality.,MUST,https://medium.com/@bragadeeshs/pixel-by-pixel-comparing-photos-with-python-ddb36fee29dc,true,manager-02
user-story-10,Photography feature,A,53,Obraz powinien być czytelny i wysokiej jakości,SHOULD,https://medium.com/@bragadeeshs/pixel-by-pixel-comparing-photos-with-python-ddb36fee29dc,true,manager-02
user-story-11,Photography feature,As a manager I want to make photos so that people keep memories in their devices.,53,Image wont be pixeled and with bad quality.,WONT,https://medium.com/@bragadeeshs/pixel-by-pixel-comparing-photos-with-python-ddb36fee29dc,true,manager-01
user-story-12,Photography feature,मैं एक प्रबंधक के रूप में फोटो लेना चाहता हूँ.,53,Image could have good quality.,COULD,https://medium.com/@bragadeeshs/pixel-by-pixel-comparing-photos-with-python-ddb36fee29dc,true,manager-02
user-story-13,Photography feature,As a manager.,53,Image could have good quality.,COULD,https://medium.com/@bragadeeshs/pixel-by-pixel-comparing-photos-with-python-ddb36fee29dc,true,manager-02
user-story-14,Photography feature,As a manager I want to make photos so that people keep memories.,53,Image wont be pixeled and with bad quality.,WONT,https://medium.com/@bragadeeshs/pixel-by-pixel-comparing-photos-with-python-ddb36fee29dc,true,manager-02
user-story-15,title,description,2,acceptance criteria,MUST,null,false,manager-01
user-story-16,title,description,2,acceptance criteria,SHOULD,null,true,manager-01
user-story-17,title,description,2,acceptance criteria,COULD,null,true,manager-01
user-story-18,title,description,2,acceptance criteria,WONT,null,true,manager-01
